id,reservationNumber,passengers,rider,serviceLevel,reservationTime,rideStartedTime,rideEndTime,latitude,longitude,waitingTime,hourofday,dayofweek,startLoc,endLoc,rideDuration,dashrideid,distance,condition
57ff89d724035cce746220cb,RES-2854G7,1,573793c61aae88cfc98ff9f9,Any vehicle,2016-10-13 13:18:00.000,2016-10-13 13:27:59.000,2016-10-13 13:37:36.265,33.95,-84.25,9.98333333333,13,Thursday,"-84.25, 33.95","-84.22, 33.98",9.0,21459.0,2.62722297373,start
57ff8cb0bedcc9d0db2fab1b,RES-285M56,1,576e2a94633e8e38a42ec8be,Any vehicle,2016-10-13 13:30:00.000,2016-10-13 13:40:23.000,2016-10-13 13:44:08.210,33.95,-84.25,10.3833333333,13,Thursday,"-84.25, 33.95","-84.25, 33.95",3.0,21461.0,0.543930102627,start
57ff8d8937362fce73887715,RES-285VDE,1,57a77bea217dced298167bf4,Any vehicle,2016-10-13 13:34:00.000,2016-10-13 13:50:48.000,2016-10-13 14:00:35.399,33.95,-84.25,16.8,13,Thursday,"-84.25, 33.95","-84.22, 33.97",9.0,21463.0,1.71455378013,start
57ff93415bb922ce6eff8e19,RES-287E7A,1,572212778de26570ef933043,Any vehicle,2016-10-13 13:59:00.000,2016-10-13 14:19:18.000,2016-10-13 14:19:21.188,33.95,-84.25,20.3,13,Thursday,"-84.25, 33.95","-84.24, 33.95",0.0,21470.0,0.864203430211,start
5808c103a2c26fe5be31549d,RES-2MK3NJ,1,573f74f902f8590288b19693,Any vehicle,2016-10-20 13:04:00.000,2016-10-20 13:15:44.000,2016-10-20 13:26:50.776,33.95,-84.25,11.7333333333,13,Thursday,"-84.25, 33.95","-84.23, 33.98",11.0,22697.0,2.35689483148,start
5808c85269dda0e5c3287155,RES-2MM5DD,1,57a77bea217dced298167bf4,Any vehicle,2016-10-20 13:35:00.000,2016-10-20 13:59:14.000,2016-10-20 13:59:16.308,33.95,-84.25,24.2333333333,13,Thursday,"-84.25, 33.95","-84.22, 33.97",0.0,22705.0,1.68220725705,start
5808ca9880498235e1164d67,RES-2MMV6Q,1,57310971e1e0376d9f87ea1e,Any vehicle,2016-10-20 13:45:00.000,2016-10-20 13:54:23.000,2016-10-20 14:03:31.816,33.95,-84.25,9.38333333333,13,Thursday,"-84.25, 33.95","-84.27, 33.93",9.0,22707.0,1.91538604639,start
5811fb3c0def7588de894bca,RES-31MJFW,1,57a77bea217dced298167bf4,Any vehicle,2016-10-27 13:03:00.000,2016-10-27 13:22:44.000,2016-10-27 13:22:47.743,33.95,-84.25,19.7333333333,13,Thursday,"-84.25, 33.95","-84.26, 33.95",0.0,24381.0,1.09253938786,start
5811ff59a77dceca9a35a755,RES-31NPV9,1,573793c61aae88cfc98ff9f9,Any vehicle,2016-10-27 13:20:00.000,2016-10-27 13:31:29.000,2016-10-27 13:48:48.665,33.95,-84.25,11.4833333333,13,Thursday,"-84.25, 33.95","-84.22, 33.98",17.0,24385.0,2.6282185227,start
58120698a77dceca9a35a7e5,RES-31QSBC,1,572212778de26570ef933043,Any vehicle,2016-10-27 13:51:00.000,2016-10-27 14:11:14.000,2016-10-27 14:12:45.048,33.95,-84.25,20.2333333333,13,Thursday,"-84.25, 33.95","-84.24, 33.95",1.0,24390.0,0.847906882423,start
